thesisID,subject_predicted
1,"['drs verburg nederland', 'industriële ontwikkelingen nederland', 'industrie nederlandse provincies', 'industrieel terreingebruik nederland', 'drs smidt nederland', 'nederlandse industrie matig', '1945 nederlandse industrie', 'nederlandse industrie bak', 'verstrekt vrijheid drs', 'nederlandse industrie zwaar']"
2,"['verbetering verslag huishoudensenquete', 'verbetering verslag huislloudens', 'noordvleugel utrechtse deel', 'gesteld huishouden verbetering', 'aantal ondervraagden nederland', 'ondervraagden nederland', 'verbetering verslechtering doende', 'woningvoorziening regio utrecht', 'ruimtelijke ordening nederland', 'gaat nederlandse situatie']"
3,"['voormalige mark hoetsele', 'opporvlakte oenheid mark', 'sociale geografie hoofdvak', 'markegronden hoofdzakelijk', 'toedclingsnaatstaven marken omgeving', 'markegronden hoofdzakelijk bestaande', 'toegodeolde oppervlakten ongewaarden', 'ongewaarden gebruik markegrond', 'oosten rogge hoofdlci', 'geografie hoofdvak']"
4,"['utrecht invloed persoonskenmerken', 'rijksuniversiteit utrecht invloed', 'utrecht oktober 1976', 'utrecht invloed', 'utrecht oost beknopte', 'instituut utrecht oktober', 'geografisch instituut utrecht', 'utrecht oost uitmevoerd', 'instituut utrecht', '1974 onderzoek utrecht']"
5,"['leeftijdsopbouw vergelijking nederland', 'leeftijdsopbouw nederland 1977', '1977 leeftijd nederland', 'utrecht nieuwegein totstandkoming', 'utrecht bereopsbevolking nieuwegein', 'leeftijdsopbouw nederland', 'utrecht omgeving nieuwegein', 'nederlandse bevolking leeftijdsklassen', 'utrecht interfakulteit aardrijkskunde', 'hoofdzakelijk midden hoge']"
6,"['geografie stedelijk industriële', 'stedelijk industriële landen', 'uithoorn amsterdam geografisch', 'groningen geografisch instituut', 'utrecht geografisch instituut', 'geografie rol menselijke', 'geografie zl stedelijk', 'utrecht onderzoek koopgerichtheid', 'koopgedrag uithoorn amsterdam', 'utrecht afkomstige huishoudens']"
7,"['gezondheidszorg regionale verschillen', 'aanbieders gezondheidszorg regionale', 'gezondheidszorg regionale', 'onderzoek geïnteresseerd regionale', 'onderzoek regionale behoefte', 'verschillen gezondheidstoestand regionale', 'regionale behoeftebepaling gezondheidszorgvoorzieningen', 'gezondheidstoestand regionale', 'gezondheidstoestand regionale bevolking', 'waargenomen regionale verschillen']"
8,"['refinery curacao the', 'the refinery curacao', 'the curacao refinery', 'refinery curacao', 'curacao refinery', 'curacao oil terminal', 'curacao petroleum industrie', 'oil refinery based', 'oil refinery', 'curacao petroleum']"
9,"['werk gelegenheidssectoren gelderland', 'gaande éénwording europese', 'trek mensen veelbelovende', 'duitsland noordelijke economische', 'duitsland economische ontwikkeling', 'vangen bevorderen', 'duitsland vele onderzoeken', 'kennis verschuivingen vloed', 'gelegenheidssectoren gelderland noord', 'investeringen noorden dalen']"
10,"['randstad nederlandse telecommunicatie', 'randstad telecommunicerend nederland', 'telecottlnicatie rijksuniversiteit utrecht', 'telecommunicatie mogelijkheden randstad', 'ligt telecommunicerend nederland', 'telecommunicerend nederland zocht', 'randstad distrikten telecommunicatie', 'utrecht ptt telefoondistrikten', 'utrecht telefonische bereikbaarheid', 'telecommunicatie nederland ptt']"
11,"['ontwikkelingen tracht hoofd', 'aantal hulpverleningsuren hoofd', 'hulpverleningsuren hoofd bejaarden', 'hoofd stuk gepresenteerde', 'hulpverleningsuren hoofd bejaardenbevolking', 'hoofd steden neder', 'hoofd bejaardenbevolking nederland', 'hulpverleningsuren hoofd', '15 hulpverleningsuren hoofd', 'vruchtbaarheidscijfers nederland steden']"
12,"['geografie ruimtelijke planning', 'rijksuniversiteit utrecht groene', 'utrecht grondgebruiksveranderingen 2015', 'utrechtse rijksuniversi teit', 'utrecht dreigt ontwikkeling', 'rijksuni versiteit utrecht', 'utrecht bedoeld groene', 'utrecht faculteit ruimtelijke', 'utrecht één groot', 'middengebied randstad utrechtse']"
13,"['bolivia eigendomsverhoudingen zone', 'lijke bevolking bolivia', 'centra bolivia eigendomsverhoudingen', 'huishoudensinkomen bolivianos zone', 'economische situatie bolivia', 'bolivianos zone 16', 'bolivia situatie uitgegaan', 'bolivianos zone', 'locale boliviaanse gebruiken', 'zing verslechtering boliviaanse']"
14,"['studenten één dagen', 'deeltijdstudenten fase studenten', 'éénderde studenten', 'studenten één', 'besteden éénderde studenten', 'studenten medewerkers voorgecodeerd', 'dag regelmatig studenten', 'onderscheid zinvol studenten', 'volgt studenten', 'studenten vtöugnig']"
15,"['prioriteit lapmiddel studie', 'herstructurering prioriteit lapmiddel', 'ontwikkelingen bedrijventerreinenmarkt sleutelproject', 'prioriteit lapmiddel plaats', 'hele sleutelproject eindhoven', 'bedrmventerre1nenmarkt herstructurering prioriteit', 'bedrijventerreinenmarkt sleutelproject', 'bedrijventerreinenmarkt herstructurering prioriteit', 'prioriteit lapmiddel', 'sleutelproject eindhoven regio']"
16,"['markteconomie regionale ongelijkheid', 'regionale ongelijkheid plaatsgevonden', 'regionale economische ontwikkelingen', 'gevolgen regionale ontwikke', 'gepoogd regionale ongelijkheid', 'regionale economische ontwikkeling', 'urbane regionale ongelijkheid', 'regionale gevolgen transitie', 'aantal regionale ongelijkheid', 'vermindering regionale ongelijkheid']"
17,"['onderzoek staat evaluatie', 'onderzoek gesprekken externe', 'utrecht onderzoek opdracht', 'onderzoek opleverde', 'universiteit utrecht onderzoek', 'vervolg onderzoek gesprekken', 'probleemstelling doel onderzoek', 'onderzoeken ontwikkelingsalternatieven gesprekken', 'onderzoek zowel bureau', 'gekozen onderzoek ontwikkelingsalternatieven']"
18,"['watersysteem regionale ontwikkeling', 'waterbeleid regionale ontwikkeling', 'waterhuishouding stedelijk landelijke', 'regionale watersystemen territoriale', 'regionale geografie watersystemen', 'water regionale geografie', 'regionale ontwikkeling watersysteem', 'regionale geografie wetenschap', 'regionale grondwatersystemen onttrekking', 'regionale ontwikkeling waterstromen']"
19,"['angstgevoelens uitgaan onderzoek', 'uitgaan onderzoek angstgevoelens', 'onderzoek angstgevoelens zowel', 'ontstaan angstgevoelens ogen', 'onderzoeken angstgevoelens uitgevoerd', 'onderzoek angstgevoelens hoofdzakelijk', 'onderzoek gedaan angstgevoelens', 'gekregen onderzoek angstgevoelens', 'angstgevoelens uitgevoerd onderzoeken', 'bestaan onderzoeken angstgevoelens']"
20,"['commerce eerdere onderzoeken', 'binnenstad onderzoek commerce', 'commerce nederland momenteel', 'commerce binnenstad onderzoek', 'commerce één belangrijkste', 'onderzoeken betrekking commerce', 'commerce succes vrijwel', 'commerce onafhankelijke variabelen', 'commerce succes onafhankelijke', 'succes commerce onderzoeken']"
