thesisID,recall,precision,f1,jaccard
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.2727272727272727,0.1,0.14634146341463417,0.0
5,0.0,0.0,0.0,0.0
6,0.2222222222222222,0.1,0.13793103448275865,0.0
7,0.0,0.0,0.0,0.0
8,0.16666666666666666,0.1,0.125,0.0
9,0.0,0.0,0.0,0.0
10,0.5,0.4,0.4444444444444445,0.0
11,0.02040816326530612,0.1,0.033898305084745756,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.14285714285714285,0.3,0.19354838709677416,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.10526315789473684,0.9,0.18848167539267016,0.0
19,0.7777777777777778,0.7,0.7368421052631577,0.0
20,0.2,0.3,0.24,0.0
